#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T17:14:49Z,41.20792,29.07611,9.2
speed,2021-08-18T17:14:45Z,41.20814,29.07602,10.2
speed,2021-08-18T17:14:41Z,41.20827,29.07597,9
speed,2021-08-18T17:14:40Z,41.20831,29.07596,9.3
speed,2021-08-18T17:14:36Z,41.20848,29.07595,9.6
speed,2021-08-18T17:14:32Z,41.20867,29.07597,9.6
speed,2021-08-18T17:14:28Z,41.20885,29.076,9.6
speed,2021-08-18T17:14:24Z,41.20902,29.07605,9.3
speed,2021-08-18T17:14:20Z,41.20921,29.07608,7.9
speed,2021-08-18T17:14:15Z,41.20937,29.0761,8.2
speed,2021-08-18T17:14:11Z,41.20948,29.07613,3.7
speed,2021-08-18T17:14:10Z,41.20949,29.07614,3.4
speed,2021-08-18T17:14:07Z,41.2095,29.0762,3.4
speed,2021-08-18T17:14:03Z,41.20943,29.07623,8.6
speed,2021-08-18T17:13:59Z,41.20923,29.0762,12.8
speed,2021-08-18T17:13:55Z,41.2089,29.07612,15.7
speed,2021-08-18T17:13:50Z,41.20858,29.07603,19.6
speed,2021-08-18T17:13:46Z,41.20821,29.07597,23
speed,2021-08-18T17:13:42Z,41.20778,29.07617,23.7
speed,2021-08-18T17:13:40Z,41.20746,29.07624,23.1
speed,2021-08-18T17:13:37Z,41.20725,29.07622,24
speed,2021-08-18T17:13:33Z,41.20682,29.07609,23.9
speed,2021-08-18T17:13:29Z,41.20641,29.07579,24.7
speed,2021-08-18T17:13:25Z,41.20595,29.0753,24.5
speed,2021-08-18T17:13:20Z,41.20564,29.07488,23.2
speed,2021-08-18T17:13:16Z,41.20531,29.0745,24.4
speed,2021-08-18T17:13:12Z,41.20494,29.07417,24.3
speed,2021-08-18T17:13:09Z,41.20471,29.07384,24.2
speed,2021-08-18T17:13:08Z,41.20465,29.07372,24
speed,2021-08-18T17:13:04Z,41.20446,29.07322,19.6
speed,2021-08-18T17:13:00Z,41.20442,29.07262,20.1
speed,2021-08-18T17:12:55Z,41.2044,29.07219,15.9
speed,2021-08-18T17:12:51Z,41.20438,29.07186,11.5
speed,2021-08-18T17:12:47Z,41.20427,29.07162,11.8
speed,2021-08-18T17:12:43Z,41.20408,29.07146,12.7
speed,2021-08-18T17:12:39Z,41.20386,29.0713,13.2
speed,2021-08-18T17:12:38Z,41.20381,29.07127,13
speed,2021-08-18T17:12:35Z,41.2036,29.07111,12.9
speed,2021-08-18T17:12:30Z,41.20337,29.07102,12.4
speed,2021-08-18T17:12:26Z,41.20314,29.07099,11.8
speed,2021-08-18T17:12:22Z,41.20293,29.07093,10
speed,2021-08-18T17:12:18Z,41.20283,29.07074,9.3
speed,2021-08-18T17:12:14Z,41.20281,29.07053,8
speed,2021-08-18T17:12:10Z,41.2028,29.07027,8.8
speed,2021-08-18T17:12:08Z,41.2028,29.07023,6.6
speed,2021-08-18T17:12:05Z,41.20279,29.07011,5.3
speed,2021-08-18T17:12:01Z,41.20279,29.06999,4.3
speed,2021-08-18T17:11:57Z,41.20285,29.06993,5
speed,2021-08-18T17:11:53Z,41.20293,29.06989,6.3
